timestamp,transaction_id,amount,category
2026-01-01 00:00:00,TX_000000,334.63,Транспорт
2026-01-01 01:00:00,TX_000001,1605.06,АЗС
2026-01-01 02:00:00,TX_000002,758.37,АЗС
2026-01-01 03:00:00,TX_000003,556.47,Транспорт
2026-01-01 04:00:00,TX_000004,184.81,АЗС
2026-01-01 05:00:00,TX_000005,184.8,Супермаркеты
2026-01-01 06:00:00,TX_000006,129.92,Супермаркеты
2026-01-01 07:00:00,TX_000007,1105.62,Транспорт
2026-01-01 08:00:00,TX_000008,559.54,Аптеки
2026-01-01 09:00:00,TX_000009,715.63,Кафе
2026-01-01 10:00:00,TX_000010,110.4,Аптеки
2026-01-01 11:00:00,TX_000011,1851.78,АЗС
2026-01-01 12:00:00,TX_000012,993.21,Кафе
2026-01-01 13:00:00,TX_000013,219.34,Транспорт
2026-01-01 14:00:00,TX_000014,200.34,Транспорт
2026-01-01 15:00:00,TX_000015,201.31,Кафе
2026-01-01 16:00:00,TX_000016,281.38,Супермаркеты
2026-01-01 17:00:00,TX_000017,471.96,Кафе
2026-01-01 18:00:00,TX_000018,382.77,АЗС
2026-01-01 19:00:00,TX_000019,272.11,Супермаркеты
2026-01-01 20:00:00,TX_000020,573.19,Транспорт
2026-01-01 21:00:00,TX_000021,175.12,Кафе
2026-01-01 22:00:00,TX_000022,272.76,Аптеки
2026-01-01 23:00:00,TX_000023,328.14,Аптеки
2026-01-02 00:00:00,TX_000024,404.47,АЗС
2026-01-02 01:00:00,TX_000025,868.97,Аптеки
2026-01-02 02:00:00,TX_000026,211.37,Кафе
2026-01-02 03:00:00,TX_000027,461.01,Кафе
2026-01-02 04:00:00,TX_000028,144884.6,Аптеки
2026-01-02 05:00:00,TX_000029,123.78,Кафе
2026-01-02 06:00:00,TX_000030,567.67,АЗС
2026-01-02 07:00:00,TX_000031,193.48,Супермаркеты
2026-01-02 08:00:00,TX_000032,133.63,АЗС
2026-01-02 09:00:00,TX_000033,1586.84,АЗС
2026-01-02 10:00:00,TX_000034,1785.32,Кафе
2026-01-02 11:00:00,TX_000035,926.17,Супермаркеты
2026-01-02 12:00:00,TX_000036,281.64,Кафе
2026-01-02 13:00:00,TX_000037,151.39,Транспорт
2026-01-02 14:00:00,TX_000038,676.38,Кафе
2026-01-02 15:00:00,TX_000039,390.05,Кафе
2026-01-02 16:00:00,TX_000040,165.08,Кафе
2026-01-02 17:00:00,TX_000041,441.77,Супермаркеты
2026-01-02 18:00:00,TX_000042,117.5,Кафе
2026-01-02 19:00:00,TX_000043,1300.21,Супермаркеты
2026-01-02 20:00:00,TX_000044,249.73,Аптеки
2026-01-02 21:00:00,TX_000045,643.13,Транспорт
2026-01-02 22:00:00,TX_000046,286.77,Супермаркеты
2026-01-02 23:00:00,TX_000047,467.06,Аптеки
2026-01-03 00:00:00,TX_000048,495.61,Супермаркеты
2026-01-03 01:00:00,TX_000049,202.19,Супермаркеты
2026-01-03 02:00:00,TX_000050,1846.4,Транспорт
2026-01-03 03:00:00,TX_000051,846.12,АЗС
2026-01-03 04:00:00,TX_000052,1502.55,АЗС
2026-01-03 05:00:00,TX_000053,1226.08,Супермаркеты
2026-01-03 06:00:00,TX_000054,555.53,Кафе
2026-01-03 07:00:00,TX_000055,1374.72,Аптеки
2026-01-03 08:00:00,TX_000056,146.33,Кафе
2026-01-03 09:00:00,TX_000057,209.07,Кафе
2026-01-03 10:00:00,TX_000058,123.14,Супермаркеты
2026-01-03 11:00:00,TX_000059,296.77,Супермаркеты
2026-01-03 12:00:00,TX_000060,346.07,Супермаркеты
2026-01-03 13:00:00,TX_000061,258.28,Супермаркеты
2026-01-03 14:00:00,TX_000062,982.28,АЗС
2026-01-03 15:00:00,TX_000063,320.61,Супермаркеты
2026-01-03 16:00:00,TX_000064,264.9,АЗС
2026-01-03 17:00:00,TX_000065,491.2,АЗС
2026-01-03 18:00:00,TX_000066,175.95,Супермаркеты
2026-01-03 19:00:00,TX_000067,910.24,Транспорт
2026-01-03 20:00:00,TX_000068,138.74,Аптеки
2026-01-03 21:00:00,TX_000069,2267.07,Кафе
2026-01-03 22:00:00,TX_000070,839.74,АЗС
2026-01-03 23:00:00,TX_000071,210.77,Аптеки
2026-01-04 00:00:00,TX_000072,102.77,Транспорт
2026-01-04 01:00:00,TX_000073,944.95,Кафе
2026-01-04 02:00:00,TX_000074,713.55,Кафе
2026-01-04 03:00:00,TX_000075,752.83,АЗС
2026-01-04 04:00:00,TX_000076,837.61,Супермаркеты
2026-01-04 05:00:00,TX_000077,138.46,Транспорт
2026-01-04 06:00:00,TX_000078,321.95,АЗС
2026-01-04 07:00:00,TX_000079,161.58,Транспорт
2026-01-04 08:00:00,TX_000080,1094.26,Супермаркеты
2026-01-04 09:00:00,TX_000081,588.15,Супермаркеты
2026-01-04 10:00:00,TX_000082,300.91,АЗС
2026-01-04 11:00:00,TX_000083,132.83,Супермаркеты
2026-01-04 12:00:00,TX_000084,286.24,Аптеки
2026-01-04 13:00:00,TX_000085,296.66,Кафе
2026-01-04 14:00:00,TX_000086,753.94,АЗС
2026-01-04 15:00:00,TX_000087,607.44,Транспорт
2026-01-04 16:00:00,TX_000088,1191.13,Аптеки
2026-01-04 17:00:00,TX_000089,419.53,АЗС
2026-01-04 18:00:00,TX_000090,163.69,Супермаркеты
2026-01-04 19:00:00,TX_000091,724.56,Супермаркеты
2026-01-04 20:00:00,TX_000092,815.2,Супермаркеты
2026-01-04 21:00:00,TX_000093,511.94,Супермаркеты
2026-01-04 22:00:00,TX_000094,836.94,Транспорт
2026-01-04 23:00:00,TX_000095,440.41,Аптеки
2026-01-05 00:00:00,TX_000096,469.84,Кафе
2026-01-05 01:00:00,TX_000097,378.91,Транспорт
2026-01-05 02:00:00,TX_000098,112.87,Транспорт
2026-01-05 03:00:00,TX_000099,157.08,Кафе
2026-01-05 04:00:00,TX_000100,115.97,Кафе
2026-01-05 05:00:00,TX_000101,605.86,Супермаркеты
2026-01-05 06:00:00,TX_000102,288.7,Транспорт
2026-01-05 07:00:00,TX_000103,455.22,АЗС
2026-01-05 08:00:00,TX_000104,1290.63,Кафе
2026-01-05 09:00:00,TX_000105,243.37,Кафе
2026-01-05 10:00:00,TX_000106,364.14,Аптеки
2026-01-05 11:00:00,TX_000107,804.37,АЗС
2026-01-05 12:00:00,TX_000108,229.9,АЗС
2026-01-05 13:00:00,TX_000109,140.05,Кафе
2026-01-05 14:00:00,TX_000110,271.07,Супермаркеты
2026-01-05 15:00:00,TX_000111,187.9,Аптеки
2026-01-05 16:00:00,TX_000112,1427.48,АЗС
2026-01-05 17:00:00,TX_000113,925.44,Кафе
2026-01-05 18:00:00,TX_000114,601.75,АЗС
2026-01-05 19:00:00,TX_000115,1125.76,Аптеки
2026-01-05 20:00:00,TX_000116,913.98,Аптеки
2026-01-05 21:00:00,TX_000117,203.25,Транспорт
2026-01-05 22:00:00,TX_000118,1215.41,Кафе
2026-01-05 23:00:00,TX_000119,487.55,Аптеки
2026-01-06 00:00:00,TX_000120,923.67,Транспорт
2026-01-06 01:00:00,TX_000121,1232.12,Транспорт
2026-01-06 02:00:00,TX_000122,291.37,АЗС
2026-01-06 03:00:00,TX_000123,158.3,АЗС
2026-01-06 04:00:00,TX_000124,229.34,Транспорт
2026-01-06 05:00:00,TX_000125,378.53,АЗС
2026-01-06 06:00:00,TX_000126,951.91,Аптеки
2026-01-06 07:00:00,TX_000127,1085.67,Супермаркеты
2026-01-06 08:00:00,TX_000128,103.49,Аптеки
2026-01-06 09:00:00,TX_000129,457.44,Транспорт
2026-01-06 10:00:00,TX_000130,370.14,Транспорт
2026-01-06 11:00:00,TX_000131,225.58,Аптеки
2026-01-06 12:00:00,TX_000132,163.84,АЗС
2026-01-06 13:00:00,TX_000133,305.95,АЗС
2026-01-06 14:00:00,TX_000134,1531.56,Транспорт
2026-01-06 15:00:00,TX_000135,295.19,Кафе
2026-01-06 16:00:00,TX_000136,465.73,АЗС
2026-01-06 17:00:00,TX_000137,707.04,Аптеки
2026-01-06 18:00:00,TX_000138,325.99,АЗС
2026-01-06 19:00:00,TX_000139,1883.9,Аптеки
2026-01-06 20:00:00,TX_000140,1741.0,Транспорт
2026-01-06 21:00:00,TX_000141,245.03,АЗС
2026-01-06 22:00:00,TX_000142,443.83,Аптеки
2026-01-06 23:00:00,TX_000143,278.97,Транспорт
2026-01-07 00:00:00,TX_000144,267.62,Кафе
2026-01-07 01:00:00,TX_000145,118.79,Аптеки
2026-01-07 02:00:00,TX_000146,570.25,Кафе
2026-01-07 03:00:00,TX_000147,449.26,Кафе
2026-01-07 04:00:00,TX_000148,126.43,Супермаркеты
2026-01-07 05:00:00,TX_000149,263.31,АЗС
2026-01-07 06:00:00,TX_000150,1294.43,Аптеки
2026-01-07 07:00:00,TX_000151,236.93,Кафе
2026-01-07 08:00:00,TX_000152,178.27,Супермаркеты
2026-01-07 09:00:00,TX_000153,436.14,Транспорт
2026-01-07 10:00:00,TX_000154,2222.02,Аптеки
2026-01-07 11:00:00,TX_000155,238.57,Кафе
2026-01-07 12:00:00,TX_000156,657.58,АЗС
2026-01-07 13:00:00,TX_000157,816.94,Супермаркеты
2026-01-07 14:00:00,TX_000158,235.67,Кафе
2026-01-07 15:00:00,TX_000159,751.37,АЗС
2026-01-07 16:00:00,TX_000160,329.26,Кафе
2026-01-07 17:00:00,TX_000161,600.25,Аптеки
2026-01-07 18:00:00,TX_000162,601.92,Аптеки
2026-01-07 19:00:00,TX_000163,483.69,Аптеки
2026-01-07 20:00:00,TX_000164,147.31,Супермаркеты
2026-01-07 21:00:00,TX_000165,1001.82,Аптеки
2026-01-07 22:00:00,TX_000166,293.41,АЗС
2026-01-07 23:00:00,TX_000167,203.22,Кафе
2026-01-08 00:00:00,TX_000168,120.81,Транспорт
